"db","index","title","authors","abstract"
"fuente academica","1.
		","Estrategias de comunicación para vincular a la comunidad a programas de detección temprana de cáncer de mama. ","By: Toquica Espitia, Adriana Marcela; Cuéllar Rivera, Diana Isabel; Chávez Bejarano, Diana Rocío. ",NA
"fuente academica","2.
		","Análisis del manejo del talento humano de los protocolos y normas técnicas y de la percepción sobre la educación recibida por los usuarios Programa de Detección Temprana. Colombia, 2002-2007. ","By: Vargas-Peña, Gilma Stella; Gómez-Zona, Andrés Leonardo; Roa-Piedrahita, Adriana. ",NA
"fuente academica","3.
		","Estrategia de APS para la detección temprana del cáncer infantil. ","By: Pardo-Mora, Yaira Yohanna. ",NA
"fuente academica","4.
		","Fomento de la competencia social como estrategia para la promoción de la salud mental en el ámbito escolar. ","By: Flórez Alarcón, Luis. ",NA
"fuente academica","5.
		","Detección temprana de autismo ¿es posible y necesaria? ","By: Sampedro Tobón, María Elena. ",NA
"fuente academica","6.
		","PREVENCIÓN E INTERVENCIONES TEMPRANAS EN SALUD MENTAL: UNA PERSPECTIVA INTERNACIONAL. ","By: Irarrázaval, Matías; Prieto, Fernanda; Armijo, Julio. ",NA
"fuente academica","7.
		","Guía de práctica clínica para la detección temprana, diagnóstico y tratamiento de la fase aguda de intoxicación de pacientes con abuso o dependencia del alcohol. ","By: de la Espriella Guerrero, Ricardo; de la Hoz Bradford, Ana María; Gómez-Restrepo, Carlos; Uribe-Holguín Zárate, Alina; Cote Menéndez, Miguel; Cortés Barré, Michelle; Cano Rentería, Ana María; Hernández, Delia Cristina. ",NA
"fuente academica","8.
		","Plan de implementación de dos Guías de Práctica Clínica (GPC) contenidas en las Guías de Atención Integral (GAI) en el Sistema General de Seguridad Social en Salud de Colombia: A) ""Detección temprana del episodio depresivo y trastorno depresivo recurrente en adultos. Atención integral de los adultos con diagnóstico de episodio depresivo o trastorno depresivo recurrente (GPCdepresión)"". B) ""Detección temprana, diagnóstico y tratamiento de la fase aguda de intoxicación de pacientes mayores de 18 años con abuso o dependencia del alcohol (GPC-alcohol)"" ","By: Sánchez Díaz, Natalia; Duarte Osorio, Andrés. ",NA
"fuente academica","9.
		","Guía de práctica clínica para la detección temprana, diagnóstico y tratamiento de la fase aguda de intoxicación de pacientes con abuso o dependencia del alcohol: Parte II: Evaluación y manejo de los pacientes con intoxicación aguda por alcohol. ","By: de la Espriella Guerrero, Ricardo; de la Hoz Bradford, Ana María; Uribe-Holguín Zárate, Alina; Rodríguez Lee, Patricia; Cote Menéndez, Miguel; Cano Rentería, Ana María; Hernández, Delia Cristina; Cardeño, Carlos; Cortés Barré, Michelle; Hernández Kunzel, Gabriel; Gómez-Restrepo, Carlos. ",NA
"fuente academica","10.
		","Guía de atención integral para la detección temprana y diagnóstico del episodio depresivo y trastorno depresivo recurrente en adultos. Atención integral de los adultos con diagnóstico de episodio depresivo o trastorno depresivo recurrente. ","By: Gómez-Restrepo, Carlos; Bohórquez Peñaranda, Adriana Patricia; García Valencia, Jenny; Rodríguez Guarín, Maritza; Rodríguez Ángel, Juliana; Eduardo Jaramillo, Luis; Palacio Acosta, Carlos Alberto; Sánchez Pedraza, Ricardo; Castro Díaz, Sergio Mario; de la Hoz Bradford, Ana María. ",NA
"fuente academica","11.
		","Guía de atención integral para la detección temprana y diagnóstico del episodio depresivo y trastorno depresivo recurrente en adultos. Atención integral de los adultos con diagnóstico de episodio depresivo o trastorno depresivo recurrente. ","By: Bohórquez Peñaranda, Adriana Patricia; García Valencia, Jenny; Rodríguez Guarín, Maritza; Arenas Borrero, Álvaro Enrique; Castro Díaz, Sergio Mario; de la Hoz Bradford, Ana María; Maldonado Riveros, Patricia; Jaramillo, Luis Eduardo; Brito, Enrique; Palacio Acosta, Carlos Alberto; Sánchez Pedraza, Ricardo; González-Pacheco, Juan; Gómez-Restrepo, Carlos. ",NA
"fuente academica","12.
		","Guía de atención integral para la detección temprana y diagnóstico del episodio depresivo y trastorno depresivo recurrente en adultos. Atención integral de los adultos con diagnóstico de episodio depresivo o trastorno depresivo recurrente. ","By: Gómez-Restrepo, Carlos; Bohórquez Peñaranda, Adriana Patricia; García Valencia, Jenny; Rodríguez Guarín, Maritza; Bravo Narváez, Eliana; Jaramillo, Luis Eduardo; Palacio Acosta, Carlos Alberto; Sánchez Pedraza, Ricardo; Castro Díaz, Sergio Mario. ",NA
"fuente academica","13.
		","Citología de cuello uterino e impeditividad eléctrica en la detección temprana del cáncer cervical. ","By: Corzo, Sandra P.; Miranda, David A.; Garcia, Ernesto; Estupiñan, Yolima; González-C, y Carlos-A. ",NA
"fuente academica","14.
		","IMPLEMENTACIÓN DE UN SISTEMA DE TELEMETRÍA PARA LA DETECCIÓN TEMPRANA DE EVENTOS TSUNAMIGÉNICOS ASOCIADOS CON LA VARIACIÓN EXTREMA DEL NIVEL DE LA MAREA EN LA COSTA PACÍFICA COLOMBIANA. ","By: Alexander Solarte Varney, Pedro; Leider Agredo Mendez, Guefry. ",NA
"fuente academica","15.
		","VELOCITY AND GRAVITATIONAL EFFECTS ON GPS SATELLITES: AN OUTLINE OF EARLY PREDICTION AND DETECTION OF STRONG EARTHQUAKES. ","By: H. Torres-Silva; de Assis, A. Souza. ",NA
"fuente academica","16.
		","Metodología para la detección temprana de Xanthomonas axonopodis pv. phaseoli en cultivo de frijol común (Phaseolus vulgaris L.) en la provincia Mayabeque, Cuba. ","By: Corzo-López, Mylene; Rivero-González, Deyanira; Loidy-Zamora-Gutiérrez; Martínez Zubiaur, Yamila; Martínez-Coca, Benedicto. ",NA
"fuente academica","17.
		","Impeditividad eléctrica en la detección temprana del cáncer cervical. ","By: Mercado, David Alejandro Miranda; Carreño, Elga Johanna Vargas; Rangel, Carlos Javier Zamora. ",NA
"fuente academica","18.
		","PERCEPCIÓN DEL ENFERMERO EN PROCESOS ESTRATEGICOS DE PROGRAMAS DE PROTECCIÓN ESPECÍFICA Y DETECCIÓN TEMPRANA EN IPS DE BOGOTA. ","By: CRUZ RIVEROS, JHONNY WALYT; GÓMEZ, OLGA JANNETH. ",NA
"fuente academica","19.
		","INVESTIGACIÓN DEL TRASTORNO POR DÉFICIT DE ATENCIÓN CON HIPERACTIVIDAD EN ESCUELAS PRIMARIAS RURALES Y URBANAS EN GUANGXI, CHINA. ","By: Ling Lei; Dazhi Deng. ",NA
"fuente academica","20.
		","ATENCIÓN DOMICILIAR: EFECTIVIDAD DE UNA INTERVENCIÓN PSICOLÓGICA EN LA PREVENCIÓN Y DETECCIÓN TEMPRANA DE LOS SÍNTOMAS DE BURN-OUT EN FAMILIARES QUE CUIDAN A PERSONAS CON VIH/SIDA. ","By: Castellanos, A. César E. ",NA
