"Nombre_centro","Nombre_capacitacion","Capacitacion_contenido","Capacitation_horas","Capacitation_certificacion","Pais","Atual","Desde","Modalidade","Responsable_email","Center_telefono"
" AGRUPACIÓN DE CENTROS DE TRATAMIENTO EN ADICCIONES -ACTA-"," DIPLOMADOS, TALLERES, FOROS, ASAMBLEAS Y PROGRAMAS DE PREVENCIÓN, INTERVENCIÓN, ATENCIÓN, REHABILITACIÓN RESIDENCIAL Y AMBULATORIA, Y PROCESOS DE RE-INSERCIÓN SOCIAL CON TÍTULOS COMO ""EL MUNDO DE LAS EMOCIONES Y EL MUNDO DE LAS ADICCIONES"" CON BASE EN LA INTELIGENCIA EMOCIONAL -IE-"," EL MUNDO DE LAS EMOCIONES Y EL MUNDO DE LAS ADICCIONES
PREVENIR, PREVENCIÓN, INTERVENCIÓN, ATENCIÓN, PROCESO DE REHABILITACIÓN, RE-INSERCIÓN, PROGRAMA INTEGRAL DE ABORDAJE Y TRATAMIENTO, INTELIGENCIA EMOCIONAL, GESTAL, CONCEPTUALIZACIÓN BÁSICA, ENTRE OTROS.  ","8","SI","GUATEMALA","SI","8","PRESENCIAL,","CENTRO DE CAPACITACIÓN PERMANENTE -CDCP- ACTA","554 3-8031 / 4613-5860 / 5700-2994"
" CAIA (CENTRO DE ATENCIÓN INTEGRAL EN ADICCIONES)"," CONSECUENCIAS NEGATIVAS EN EL SISTEMA NERVIOSO CENTRAL POR EL CONSUMO DE SUSTANCIA PSICOACTIVAS"," CONSISTIÓ EN UN MÓDULO DE DOS HORAS","2","NO","MÉXICO","NO","1","PRESENCIAL,","GG.ARENASPEREZ@GMAIL.COM ","(044)4771200709"
" CECA JUVENTUD 2000"," PROGRAMA DE INTERVENCION BREVE PARA ADOLESCENTES QUE INICIAN EN EL CONSUMO DE ALCOHOL Y OTRAS DROGAS"," ADMISION
EVALUACION
INDUCCION
BALANCE DECISIONAL
SITUACIONES DE RIESGO
PLANES DE ACCION
METAS DE VIDA
CRUZANDO LA META
SEGUIMIENTO","8","SI","MÉXICO","SI","2014","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6861192983"
" CECA JUVENTUD 2000"," 10 RECOMENDACIONES","NO TIENE MODULOS SON 10 RECOMENDACIONES","1","SI","MÉXICO","SI","2011","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6861192983"
" CECA JUVENTUD 2000","PREVENCIÓN DE LA CONDUCTAS ADICTIVAS A TRAVÉS DE LA ATENCIÓN DEL COMPORTAMIENTO INFANTIL PARA LA CRIANZA POSITIVA"," 1. SESIÓN DE EVALUACIÓN ESCRITA GRUPAL
2.INVENTARIO DE PRACTICAS DE CRIANZA
3.CUESTIONARIO DE HABILIDADES DE MANEJO INFANTIL
4. INVENTARIO DE CONDUCTA INFANTIL
5. CUESTIONARIO DE SATISFACCIÓN DEL CLIENTE
ANÁLISIS FUNCIONAL DE LA CONDUCTA Y CAMBIO CONDUCTUAL 
6. OBEDIENCIA
7. CORRECCION DEL COMPORTAMIENTO
8. ACTIVIDADES PLANEADAS
EVALUACION INDIVIDUAL A TRAVES DE SITUACIONES PLANEADAS.
","12","SI","MÉXICO","SI","2014","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6861192983"
"CECA JUVENTUD 2000"," MITOS Y REALIDADES DE LAS DROGAS","MIITOS Y REALIDADES DE LAS DROGAS: ALCOHOL, TABACO Y OTRAS DROGAS","2","SI","MÉXICO","SI","2011","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6861192983"
" CECA MEXICALI","HABILIDADES PARA LA VIDA.


"," HABILIDADES SOCIALES
HABILIDADES DE PENSAMIENTO
MANEJO DE EMOCIONES
","4","SI","MÉXICO","SI","2011","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6861192983"
" CENTRO DE ATENCION EN DROGODEPENDENCIAS- CAD SAMEIN "," ENFERMEDAD DUAL EN ADOLESCENTES Y NIÑOS
PREVENCIÓN INDICADA Y SELECTIVA EN DROGODEPENDENCIAS
TAMIZAJE E INTERVENCIÓN BREVE"," TAMIZAJE
INTERVENCIÓN BREVE
ADOLESCENCIA E INFANCIA
NORMATIVIDAD LOCAL
ASPECTOS BASICOS SPA","36","SI","COLOMBIA","SI","2009","PRESENCIAL,","DIRECCIONCADSAMEIN@GMAIL.COM","3122465087"
" CENTRO DE ATENCIÓN PRIMARIA EN ADICCIONES OCOTLAN "," CAMPAÑA NACIONAL EN PREVENCIÓN DE ADICCIONES "," 1","10","SI","MÉXICO","SI","7","PRESENCIAL,","CAPAOCOTLAN1@HOTMAIL.COM","3360596603"
" CENTRO DE ATENCIÓN PRIMARIA EN ADICCIONES OCOTLÁN"," PROMOTORES NUEVA VIDA."," CONCEPTOS BÁSICOS, DETECCIÓN TEMPRANA Y CANALIZACIÓN","6","SI","MÉXICO","SI","2009","PRESENCIAL,","CAPAOCOTLAN1@HOTMAIL.COM","3338225863"
" CENTRO DE ATENCION PRIMARIA EN ADICCIONES, SANTA CATARINA, NUEVO LEON, MEXICO"," IDEAS
MITOS Y REALIDADES
10 RECOMENDACIONES PARA PADRES, PARA EVITAR CONSUMO DE DROGAS EN SUS HIJOS
"," IDEAS
INDAGA
DIALOGA
EXPLORA
ACOMPAÑA
","4","SI","MÉXICO","SI","-2009.0","PRESENCIAL,","CNVSANTACATARINA@GMAIL.COM","8186836589"
" CENTRO DE PREVENCIÓN EN ADICCIONES ""DR. HÉCTOR AYALA VELÁZQUEZ"", FACULTAD DE PSICOLOGÍA, UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO. "," PROGRAMA DE MAESTRÍA EN PSICOLOGÍA DE LAS ADICCIONES","PRINCIPIOS BÁSICOS DEL COMPORTAMIENTO ADICTIVO
BASES FISIOLÓGICAS DE LA CONDUCTA ADICTIVA
POLÍTICAS PÚBLICAS EN ADICCIONES
ACCIONES COMUNITARIAS
METODOLOGÍA DE LA INVESTIGACIÓN
CONSEJO BREVE
INTERVENCIÓN BREVE
TRATAMIENTO BREVE
","1600","SI","MÉXICO","SI","1999","PRESENCIAL,","LBARRAGANTORRES@GMAIL.COM","56222335"
